Alice Santos,Aliceee_Rocha,Thu Jul 27 21:19:48 +0000 2017,"já tô ficando com overdose de decepções pqp"
PanconCafé💜,naomi_hatsune,Thu Jul 27 21:19:47 +0000 2017,"RT @exofancy: Yo, la primera vez que escuché Overdose: https://t.co/uReaqbBmQK"
Diogo Luiz ☆,diogoluiz92,Thu Jul 27 21:19:45 +0000 2017,"RT @Privacidades: Overdose de decepções."
Cool Songs,CoolTrollsongs,Thu Jul 27 21:19:44 +0000 2017,"@YourFellowArab Damn, Arms! I'd legit have to overdose on test to get that big. Fuck genetics."
Lobo,johnhaule22,Thu Jul 27 21:19:44 +0000 2017,"RT @Privacidades: Overdose de decepções."
tt,stefaniaandrad6,Thu Jul 27 21:19:43 +0000 2017,"RT @Privacidades: Overdose de decepções."
Litinha 🦁♌,Thalita24527055,Thu Jul 27 21:19:40 +0000 2017,"Overdose de Saudade👎💔"
gabi ✠,gabibalaa,Thu Jul 27 21:19:33 +0000 2017,"RT @Privacidades: Overdose de decepções."
Iguiin  💙💤,IguiinCoelhoo,Thu Jul 27 21:19:32 +0000 2017,"Overdose de decepções."
Gabu 🌻,otagaabi,Thu Jul 27 21:19:31 +0000 2017,"RT @Privacidades: Overdose de decepções."
016,th0__0,Thu Jul 27 21:19:30 +0000 2017,"overdose de decepções"
Nathy Andrade♑,__Andradee__,Thu Jul 27 21:19:28 +0000 2017,"RT @Privacidades: Overdose de decepções."
Thaí Gorniak,ThaisGorniak,Thu Jul 27 21:19:17 +0000 2017,"RT @Privacidades: Overdose de decepções."
GAMEIRO,lilchinese101,Thu Jul 27 21:19:11 +0000 2017,"RT @Privacidades: Overdose de decepções."
Stéfani Zortéa,tefyy_z,Thu Jul 27 21:19:08 +0000 2017,"RT @Privacidades: Overdose de decepções."
Harriett McLachlan,harriettmclach1,Thu Jul 27 21:19:07 +0000 2017,"RT @pivotlegal: "What’s happening in 2017 is 50 per cent worse than 2016," https://t.co/3vVAKnAzg1 #CDNOverdoseCrisis"
